time,value
2019-01-17 06:15:00,10.9900
2019-01-17 06:20:00,11.0600
2019-01-17 06:25:00,11.2500
2019-01-17 06:30:00,10.8200
2019-01-17 06:35:00,10.9600
2019-01-17 06:40:00,11.0899
2019-01-17 06:45:00,10.8399
2019-01-17 06:50:00,10.8499
2019-01-17 06:55:00,11.0099
2019-01-17 07:00:00,10.8499
2019-01-17 07:05:00,10.9600
2019-01-17 07:10:00,11.0399
2019-01-17 07:15:00,11.0199
2019-01-17 07:20:00,11.0000
2019-01-17 07:25:00,10.9499
2019-01-17 07:30:00,11.0000
2019-01-17 07:35:00,10.9600
2019-01-17 07:40:00,10.9000
2019-01-17 07:45:00,11.0299
2019-01-17 07:50:00,10.7799
2019-01-17 07:55:00,10.8900
2019-01-17 08:00:00,10.9800
2019-01-17 08:05:00,11.0899
2019-01-17 08:10:00,11.0999
2019-01-17 08:15:00,11.2799
2019-01-17 08:20:00,10.8699
2019-01-17 08:25:00,10.8300
2019-01-17 08:30:00,10.9199
2019-01-17 08:35:00,10.8499
2019-01-17 08:40:00,10.9700
2019-01-17 08:45:00,11.0700
2019-01-17 08:50:00,11.0800
2019-01-17 08:55:00,11.0199
2019-01-17 09:00:00,11.0199
2019-01-17 09:05:00,10.9700
2019-01-17 09:10:00,10.7300
2019-01-17 09:15:00,10.8499
2019-01-17 09:20:00,12.0399
2019-01-17 09:25:00,11.1699
2019-01-17 09:30:00,10.9000
2019-01-17 09:35:00,11.1099
2019-01-17 09:40:00,11.2300
2019-01-17 09:45:00,11.0999
2019-01-17 09:50:00,10.9800
2019-01-17 09:55:00,11.3900
2019-01-17 10:00:00,12.4700
2019-01-17 10:05:00,12.2300
2019-01-17 10:10:00,11.2899
2019-01-17 10:15:00,11.6799
2019-01-17 10:20:00,11.5500
2019-01-17 10:25:00,11.3599
2019-01-17 10:30:00,11.3100
2019-01-17 10:35:00,11.2200
2019-01-17 10:40:00,11.3000
2019-01-17 10:45:00,11.3300
2019-01-17 10:50:00,7.8799
2019-01-17 10:55:00,29.3000
2019-01-17 11:00:00,10.5000
2019-01-17 11:05:00,13.9499
2019-01-17 11:10:00,10.4800
2019-01-17 11:15:00,11.1500
2019-01-17 11:20:00,17.7500
2019-01-17 11:25:00,14.7400
2019-01-17 11:30:00,19.2600
2019-01-17 11:35:00,17.6999
2019-01-17 11:40:00,16.2800
2019-01-17 11:45:00,18.3399
2019-01-17 11:50:00,16.1499
2019-01-17 11:55:00,16.3299
2019-01-17 12:00:00,15.2899
2019-01-17 12:05:00,15.6300
2019-01-17 12:10:00,15.0800
2019-01-17 12:15:00,15.3699
2019-01-17 12:20:00,15.0999
2019-01-17 12:25:00,15.0999
2019-01-17 12:30:00,15.3599
2019-01-17 12:35:00,15.4100
2019-01-17 12:40:00,15.1300
2019-01-17 12:45:00,15.2400
2019-01-17 12:50:00,15.0999
2019-01-17 12:55:00,15.0700
2019-01-17 13:00:00,15.2400
2019-01-17 13:05:00,15.1300
2019-01-17 13:10:00,14.9900
2019-01-17 13:15:00,15.0700
2019-01-17 13:20:00,15.0299
2019-01-17 13:25:00,15.0500
2019-01-17 13:30:00,15.3599
2019-01-17 13:35:00,15.4499
2019-01-17 13:40:00,16.3500
2019-01-17 13:45:00,18.4499
2019-01-17 13:50:00,19.4200
2019-01-17 13:55:00,17.0000
2019-01-17 14:00:00,16.9499
2019-01-17 14:05:00,15.9100
2019-01-17 14:10:00,17.4899
2019-01-17 14:15:00,16.0199
2019-01-17 14:20:00,15.3699
2019-01-17 14:25:00,16.2600
2019-01-17 14:30:00,15.1199
2019-01-17 14:35:00,15.8100
2019-01-17 14:40:00,15.6899
2019-01-17 14:45:00,15.7300
2019-01-17 14:50:00,15.7300
2019-01-17 14:55:00,15.3900
2019-01-17 15:00:00,16.9200
2019-01-17 15:05:00,15.8000
2019-01-17 15:10:00,15.8599
2019-01-17 15:15:00,16.0399
2019-01-17 15:20:00,15.7500
2019-01-17 15:25:00,16.1299
2019-01-17 15:30:00,15.5299
2019-01-17 15:35:00,16.1200
2019-01-17 15:40:00,15.6999
2019-01-17 15:45:00,15.6400
2019-01-17 15:50:00,15.9100
2019-01-17 15:55:00,15.5399
2019-01-17 16:00:00,15.2799
